#icu_stays: 10208
record num, #records, ratio
1, 185, 0.0181
2, 196, 0.0192
3, 144, 0.0141
4, 165, 0.0162
5, 154, 0.0151
6, 128, 0.0125
7, 137, 0.0134
8, 139, 0.0136
9, 104, 0.0102
10, 101, 0.0099
11, 87, 0.0085
12, 76, 0.0074
13, 98, 0.0096
14, 90, 0.0088
15, 80, 0.0078
16, 85, 0.0083
17, 67, 0.0066
18, 74, 0.0072
19, 89, 0.0087
20, 88, 0.0086
21, 95, 0.0093
22, 87, 0.0085
23, 69, 0.0068
24, 92, 0.0090
25, 75, 0.0073
26, 76, 0.0074
27, 82, 0.0080
28, 75, 0.0073
29, 75, 0.0073
30, 85, 0.0083
31, 84, 0.0082
32, 87, 0.0085
33, 88, 0.0086
34, 75, 0.0073
35, 78, 0.0076
36, 69, 0.0068
37, 77, 0.0075
38, 72, 0.0071
39, 73, 0.0072
40, 60, 0.0059
41, 59, 0.0058
42, 56, 0.0055
43, 63, 0.0062
44, 66, 0.0065
45, 58, 0.0057
46, 69, 0.0068
47, 58, 0.0057
48, 56, 0.0055
49, 63, 0.0062
50, 50, 0.0049
51, 43, 0.0042
52, 54, 0.0053
53, 56, 0.0055
54, 47, 0.0046
55, 55, 0.0054
56, 46, 0.0045
57, 43, 0.0042
58, 42, 0.0041
59, 39, 0.0038
60, 45, 0.0044
61, 33, 0.0032
62, 47, 0.0046
63, 50, 0.0049
64, 38, 0.0037
65, 53, 0.0052
66, 48, 0.0047
67, 50, 0.0049
68, 40, 0.0039
69, 48, 0.0047
70, 39, 0.0038
71, 36, 0.0035
72, 37, 0.0036
73, 42, 0.0041
74, 36, 0.0035
75, 33, 0.0032
76, 34, 0.0033
77, 54, 0.0053
78, 32, 0.0031
79, 38, 0.0037
80, 31, 0.0030
81, 32, 0.0031
82, 41, 0.0040
83, 37, 0.0036
84, 35, 0.0034
85, 32, 0.0031
86, 34, 0.0033
87, 42, 0.0041
88, 28, 0.0027
89, 26, 0.0025
90, 31, 0.0030
91, 35, 0.0034
92, 35, 0.0034
93, 42, 0.0041
94, 31, 0.0030
95, 32, 0.0031
96, 24, 0.0024
97, 31, 0.0030
98, 39, 0.0038
99, 29, 0.0028
100, 21, 0.0021
101, 29, 0.0028
102, 25, 0.0024
103, 21, 0.0021
104, 30, 0.0029
105, 37, 0.0036
106, 18, 0.0018
107, 15, 0.0015
108, 22, 0.0022
109, 27, 0.0026
110, 22, 0.0022
111, 13, 0.0013
112, 23, 0.0023
113, 27, 0.0026
114, 28, 0.0027
115, 21, 0.0021
116, 10, 0.0010
117, 19, 0.0019
118, 29, 0.0028
119, 26, 0.0025
120, 21, 0.0021
121, 26, 0.0025
122, 22, 0.0022
123, 25, 0.0024
124, 27, 0.0026
125, 22, 0.0022
126, 25, 0.0024
127, 12, 0.0012
128, 22, 0.0022
129, 24, 0.0024
130, 20, 0.0020
131, 23, 0.0023
132, 23, 0.0023
133, 15, 0.0015
134, 28, 0.0027
135, 15, 0.0015
136, 18, 0.0018
137, 20, 0.0020
138, 23, 0.0023
139, 10, 0.0010
140, 17, 0.0017
141, 26, 0.0025
142, 13, 0.0013
143, 18, 0.0018
144, 17, 0.0017
145, 20, 0.0020
146, 19, 0.0019
147, 18, 0.0018
148, 16, 0.0016
149, 14, 0.0014
150, 18, 0.0018
151, 10, 0.0010
152, 23, 0.0023
153, 16, 0.0016
154, 12, 0.0012
155, 21, 0.0021
156, 14, 0.0014
157, 17, 0.0017
158, 17, 0.0017
159, 13, 0.0013
160, 17, 0.0017
161, 19, 0.0019
162, 20, 0.0020
163, 19, 0.0019
164, 11, 0.0011
165, 19, 0.0019
166, 10, 0.0010
167, 16, 0.0016
168, 17, 0.0017
169, 14, 0.0014
170, 20, 0.0020
171, 11, 0.0011
172, 8, 0.0008
173, 15, 0.0015
174, 10, 0.0010
175, 8, 0.0008
176, 16, 0.0016
177, 12, 0.0012
178, 18, 0.0018
179, 12, 0.0012
180, 13, 0.0013
181, 13, 0.0013
182, 14, 0.0014
183, 11, 0.0011
184, 15, 0.0015
185, 14, 0.0014
186, 12, 0.0012
187, 7, 0.0007
188, 12, 0.0012
189, 18, 0.0018
190, 11, 0.0011
191, 10, 0.0010
192, 11, 0.0011
193, 11, 0.0011
194, 19, 0.0019
195, 11, 0.0011
196, 10, 0.0010
197, 15, 0.0015
198, 11, 0.0011
199, 10, 0.0010
200, 9, 0.0009
